physician_profile_id,physician_first_name,physician_last_name,submitting_applicable_manufacturer_or_applicable_gpo_name,total_amount_of_payment_usdollars,date_of_payment,nature_of_payment_or_transfer_of_value
182198,KRIS,FORD,ORGANOGENESIS INC.,16.91,8/21/2020,Food and Beverage
1279051,KRISHANTHI,JAYATHILAKA,ORGANOGENESIS INC.,109.8,1/20/2020,Food and Beverage
1333385,KRISTA,HOWARD,ORGANOGENESIS INC.,24.89,8/7/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,18.53,5/21/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,15.24,2/19/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,11.85,1/23/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,16.87,2/12/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,22.03,4/23/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,13.87,8/4/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,14.01,9/24/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,18.06,7/2/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,18.11,1/16/2020,Food and Beverage
264400,KRISTA,NELSON,ORGANOGENESIS INC.,18.01,10/29/2020,Food and Beverage
148600,KRISTEN,BATTLES,ORGANOGENESIS INC.,16.71,1/13/2020,Food and Beverage
1308752,KRISTEN,FOSTER,Organogenesis Inc.,19.86,1/7/2020,Food and Beverage
323783,KRISTEN,HEARD,ORGANOGENESIS INC.,66.3,6/20/2020,Food and Beverage
840738,KRISTEN,HENRY,ORGANOGENESIS INC.,17.59,3/9/2020,Food and Beverage
304476,KRISTI,KAMINSKY,ORGANOGENESIS INC.,7.78,2/13/2020,Food and Beverage
304476,KRISTI,KAMINSKY,ORGANOGENESIS INC.,42.29,10/15/2020,Food and Beverage
304476,KRISTI,KAMINSKY,ORGANOGENESIS INC.,7.36,1/7/2020,Food and Beverage
304476,KRISTI,KAMINSKY,ORGANOGENESIS INC.,21.51,1/14/2020,Food and Beverage
304476,KRISTI,KAMINSKY,ORGANOGENESIS INC.,26.61,8/12/2020,Food and Beverage
304476,KRISTI,KAMINSKY,ORGANOGENESIS INC.,38.37,8/27/2020,Food and Beverage
1097306,KRISTIE,MASON,ORGANOGENESIS INC.,13.55,2/25/2020,Food and Beverage
3120476,KRISTIN,VISCO,ORGANOGENESIS INC.,20.83,9/11/2020,Food and Beverage
3120476,KRISTIN,VISCO,ORGANOGENESIS INC.,15.63,4/1/2020,Food and Beverage
3120476,KRISTIN,VISCO,ORGANOGENESIS INC.,13.83,3/5/2020,Food and Beverage
3120476,KRISTIN,VISCO,ORGANOGENESIS INC.,11.61,7/17/2020,Food and Beverage
3120476,KRISTIN,VISCO,ORGANOGENESIS INC.,19.34,3/26/2020,Food and Beverage
412421,KRISTIN RUTH,TOLIVER,ORGANOGENESIS INC.,70.25,9/3/2020,Food and Beverage
412421,KRISTIN RUTH,TOLIVER,ORGANOGENESIS INC.,14.63,9/23/2020,Food and Beverage
412421,KRISTIN RUTH,TOLIVER,ORGANOGENESIS INC.,17.68,1/23/2020,Food and Beverage
412421,KRISTIN RUTH,TOLIVER,ORGANOGENESIS INC.,123.5,1/17/2020,Food and Beverage
412421,KRISTIN RUTH,TOLIVER,ORGANOGENESIS INC.,77.7,3/10/2020,Food and Beverage
163348,KRISTINA,RAY,ORGANOGENESIS INC.,47.27,10/21/2020,Food and Beverage
163348,KRISTINA,RAY,ORGANOGENESIS INC.,32.42,7/1/2020,Food and Beverage
4214139,KRISTINA,THOMPSON,ORGANOGENESIS INC.,44.78,1/14/2020,Food and Beverage
1307380,KRISTINE,FREYALDENHOVEN,ORGANOGENESIS INC.,17.78,6/23/2020,Food and Beverage
1307380,KRISTINE,FREYALDENHOVEN,ORGANOGENESIS INC.,18.19,8/18/2020,Food and Beverage
6580182,KRISTOPHER,JERRY,ORGANOGENESIS INC.,14.23,9/10/2020,Food and Beverage
351667,KRISTOPHER,KRANNITZ,ORGANOGENESIS INC.,13.83,1/16/2020,Food and Beverage
351667,KRISTOPHER,KRANNITZ,ORGANOGENESIS INC.,24.02,2/17/2020,Food and Beverage
7226259,KRYSTLE,SCOTT,ORGANOGENESIS INC.,12.13,10/14/2020,Food and Beverage
354246,KULUMANI,NARASIMHAN,ORGANOGENESIS INC.,21.14,3/19/2020,Food and Beverage
7303160,KURT,FLESCHNER,ORGANOGENESIS INC.,22.86,10/15/2020,Food and Beverage
295206,KWAME,WILLIAMS,ORGANOGENESIS INC.,25.17,9/24/2020,Food and Beverage
295206,KWAME,WILLIAMS,ORGANOGENESIS INC.,63.66,3/3/2020,Food and Beverage
1067959,KYE,EVANS,ORGANOGENESIS INC.,19.41,10/8/2020,Food and Beverage
1067959,KYE,EVANS,ORGANOGENESIS INC.,17.43,8/19/2020,Food and Beverage
3596456,KYLE,BRAY,ORGANOGENESIS INC.,11.92,9/18/2020,Food and Beverage
3596456,KYLE,BRAY,ORGANOGENESIS INC.,158.49,9/29/2020,Food and Beverage
6171112,KYLE,DURFEY,ORGANOGENESIS INC.,27.49,1/23/2020,Food and Beverage
667453,KYLE,HERRON,ORGANOGENESIS INC.,13.61,9/21/2020,Food and Beverage
1055272,KYLE,JOHNSON,ORGANOGENESIS INC.,16.5,1/14/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,16.41,9/18/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,35.22,10/21/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,25.8,7/14/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,44.63,6/25/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,36.95,8/24/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,37.81,6/19/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,20.38,9/23/2020,Food and Beverage
2787933,KYLE,LINDOW,ORGANOGENESIS INC.,44.19,7/31/2020,Food and Beverage
6288053,KYLE,MILLS,ORGANOGENESIS INC.,19.18,3/4/2020,Food and Beverage
6288053,KYLE,MILLS,ORGANOGENESIS INC.,18.45,8/6/2020,Food and Beverage
321286,KYLE,MOORE,ORGANOGENESIS INC.,11.5,6/10/2020,Food and Beverage
321286,KYLE,MOORE,ORGANOGENESIS INC.,16.46,10/29/2020,Food and Beverage
2345049,KYLE,SWANSON,ORGANOGENESIS INC.,21.09,5/1/2020,Food and Beverage
2345049,KYLE,SWANSON,ORGANOGENESIS INC.,20.36,6/24/2020,Food and Beverage
73974,KYLE,YORGASON,ORGANOGENESIS INC.,18.49,3/25/2020,Food and Beverage
73974,KYLE,YORGASON,ORGANOGENESIS INC.,14.38,2/7/2020,Food and Beverage
73974,KYLE,YORGASON,ORGANOGENESIS INC.,21.75,7/24/2020,Food and Beverage
73974,KYLE,YORGASON,ORGANOGENESIS INC.,19.43,5/19/2020,Food and Beverage
1009302,KYLER,THOMAS,ORGANOGENESIS INC.,24.42,8/4/2020,Food and Beverage
64673,LACEY,LOVELAND,ORGANOGENESIS INC.,14.93,1/14/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,1.79,6/30/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,8.55,6/15/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,2.41,8/28/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,15.74,5/11/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,18.71,8/28/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,15.57,3/2/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,13.12,3/16/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,7.19,1/8/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,4.84,2/18/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,5.47,5/11/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,17.61,7/27/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,1.97,6/17/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,7.89,8/6/2020,Food and Beverage
139372,LAM,LE,ORGANOGENESIS INC.,6.95,7/23/2020,Food and Beverage
326292,LAMBERTO,PARAGAS,ORGANOGENESIS INC.,14,1/14/2020,Food and Beverage
185897,LANA,BEAVERS,ORGANOGENESIS INC.,14.2,10/26/2020,Food and Beverage
331496,LANCE,SIMS,ORGANOGENESIS INC.,13.94,1/14/2020,Food and Beverage
64878,LANE,KAPLAN,ORGANOGENESIS INC.,15.29,9/15/2020,Food and Beverage
64878,LANE,KAPLAN,ORGANOGENESIS INC.,14.33,10/9/2020,Food and Beverage
499931,LANGSTON,CLEVELAND,ORGANOGENESIS INC.,15.6,10/19/2020,Food and Beverage
497026,LANI,NAGORSKI,ORGANOGENESIS INC.,12.64,1/16/2020,Food and Beverage
497026,LANI,NAGORSKI,ORGANOGENESIS INC.,11.28,8/31/2020,Food and Beverage
497026,LANI,NAGORSKI,ORGANOGENESIS INC.,12.02,2/25/2020,Food and Beverage
263368,LANIE,HUFFMAN,ORGANOGENESIS INC.,19.13,1/8/2020,Food and Beverage
688512,LARISA,KELLEY,ORGANOGENESIS INC.,16.4,10/27/2020,Food and Beverage
688512,LARISA,KELLEY,ORGANOGENESIS INC.,11.54,10/1/2020,Food and Beverage
515566,LARISA,SHARP,ORGANOGENESIS INC.,56.84,2/26/2020,Food and Beverage
576667,LARISSA,SZEYKO,ORGANOGENESIS INC.,13.19,6/18/2020,Food and Beverage
131349,LARRY,CHASE,ORGANOGENESIS INC.,99.88,2/10/2020,Food and Beverage
131349,LARRY,CHASE,ORGANOGENESIS INC.,21,9/17/2020,Food and Beverage
590680,LARRY,GOSS,ORGANOGENESIS INC.,27.92,1/20/2020,Food and Beverage
590680,Larry,Goss,Organogenesis Inc.,27.92,1/20/2020,Food and Beverage
295654,LARRY,HAYES,ORGANOGENESIS INC.,22.85,7/23/2020,Food and Beverage
125353,LARRY,KIPP,ORGANOGENESIS INC.,19.41,2/20/2020,Food and Beverage
125353,LARRY,KIPP,ORGANOGENESIS INC.,115.73,10/1/2020,Food and Beverage
125353,LARRY,KIPP,ORGANOGENESIS INC.,18.42,8/28/2020,Food and Beverage
146559,LARRY,LEFEVRE,ORGANOGENESIS INC.,56.82,6/18/2020,Food and Beverage
256391,LARRY,PRICE,ORGANOGENESIS INC.,121.54,2/12/2020,Food and Beverage
461124,LARRY,STERN,ORGANOGENESIS INC.,77.41,2/13/2020,Food and Beverage
278724,LATISHA,SMITH-CHASE,ORGANOGENESIS INC.,91.34,1/9/2020,Food and Beverage
234428,LAURA,BLACK-WICKS,ORGANOGENESIS INC.,14.96,9/24/2020,Food and Beverage
1459418,LAURA,BUEHLER,ORGANOGENESIS INC.,43.34,10/28/2020,Food and Beverage
330428,LAURA,GILMORE,ORGANOGENESIS INC.,23.11,3/25/2020,Food and Beverage
196943,LAURA,GUERIN,ORGANOGENESIS INC.,19.12,2/12/2020,Food and Beverage
77538,LAURA,HOLMES,ORGANOGENESIS INC.,124.69,2/20/2020,Food and Beverage
3259869,LAURA,JAMROG,ORGANOGENESIS INC.,17.86,6/22/2020,Food and Beverage
3259869,LAURA,JAMROG,ORGANOGENESIS INC.,19.17,8/6/2020,Food and Beverage
252724,LAURA,TORRES-BARRE,ORGANOGENESIS INC.,17.71,4/29/2020,Food and Beverage
161708,LAURA,VIRTUE DELAYO,ORGANOGENESIS INC.,28.3,5/21/2020,Food and Beverage
1134671,LAURA,WALTON,ORGANOGENESIS INC.,19.79,6/8/2020,Food and Beverage
845413,LAUREL,BONDI,ORGANOGENESIS INC.,16.98,5/13/2020,Food and Beverage
845413,LAUREL,BONDI,ORGANOGENESIS INC.,124.33,10/16/2020,Food and Beverage
845413,LAUREL,BONDI,ORGANOGENESIS INC.,3.26,12/10/2020,Food and Beverage
2790577,LAUREN,CRADDOCK,ORGANOGENESIS INC.,23.51,2/5/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,13.21,9/24/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,11.82,7/28/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,4.15,10/14/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,10.46,10/13/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,9.22,10/7/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,16.72,4/21/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,21.08,5/1/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,4.66,10/14/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,33.08,8/11/2020,Food and Beverage
2855297,LAUREN,MCCARTHY,ORGANOGENESIS INC.,12.24,9/17/2020,Food and Beverage
46712,LAUREN,REED,ORGANOGENESIS INC.,181.85,2/19/2020,Food and Beverage
4973923,LAUREN,SCHNACK,ORGANOGENESIS INC.,16.14,9/29/2020,Food and Beverage
137731,LAUREN,SMITH,ORGANOGENESIS INC.,125,2/20/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,12.23,9/23/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,12.44,9/2/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,5.91,10/5/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,4.69,7/28/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,15.05,6/24/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,13.35,10/23/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,14.15,7/15/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,15.9,7/21/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,17.78,6/10/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,12.58,9/16/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,17.24,10/30/2020,Food and Beverage
483946,LAUREN,STIMLER LEVY,ORGANOGENESIS INC.,15.69,8/4/2020,Food and Beverage
70605,LAWANNA,MONDAY,ORGANOGENESIS INC.,12.44,7/20/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,27.74,6/18/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,19,5/6/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,12.83,10/20/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,15.91,4/16/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,20.05,3/10/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,23.72,9/11/2020,Food and Beverage
322485,LAWRENCE,BACHLE,ORGANOGENESIS INC.,9.19,8/12/2020,Food and Beverage
591307,LAWRENCE,BROWN,ORGANOGENESIS INC.,14.11,7/8/2020,Food and Beverage
44339,LAWRENCE,GOLDSTEIN,ORGANOGENESIS INC.,87.92,2/27/2020,Food and Beverage
258263,LAWRENCE,HARKLESS,ORGANOGENESIS INC.,73.67,1/21/2020,Food and Beverage
40338,LAWRENCE,HUELS,ORGANOGENESIS INC.,13.78,2/20/2020,Food and Beverage
951094,LAWRENCE,KOSOVA,ORGANOGENESIS INC.,91.09,6/8/2020,Food and Beverage
49496,LAWRENCE,MACTAVISH,ORGANOGENESIS INC.,181.86,2/19/2020,Food and Beverage
344196,LAWRENCE,MACTAVISH,ORGANOGENESIS INC.,181.86,2/19/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,14.61,3/4/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,20.63,10/19/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,42.2,6/19/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,7,7/16/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,3.56,3/17/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,10.5,2/13/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,125,2/10/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,14.97,12/2/2020,Food and Beverage
316825,LAWRENCE,SANTI,ORGANOGENESIS INC.,23.6,5/28/2020,Food and Beverage
978741,LAWRENCE,SILVERBERG,ORGANOGENESIS INC.,121.54,2/12/2020,Food and Beverage
91266,LAWRENCE,TARASUK,ORGANOGENESIS INC.,22.79,7/24/2020,Food and Beverage
91266,LAWRENCE,TARASUK,ORGANOGENESIS INC.,24.7,7/22/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,8.71,6/8/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,28.26,10/8/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,21.46,8/27/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,19.52,6/11/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,18.08,7/28/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,21.46,8/27/2020,Food and Beverage
163635,LAWRENCE,WARD,ORGANOGENESIS INC.,7.65,6/16/2020,Food and Beverage
808126,LAYNE,DAMERON,ORGANOGENESIS INC.,25.2,10/6/2020,Food and Beverage
815614,LE,LEE,ORGANOGENESIS INC.,79.03,2/8/2020,Food and Beverage
7092,LEE,GOLDSTEIN,ORGANOGENESIS INC.,19.67,5/6/2020,Food and Beverage
7092,LEE,GOLDSTEIN,ORGANOGENESIS INC.,13.89,6/16/2020,Food and Beverage
7092,LEE,GOLDSTEIN,ORGANOGENESIS INC.,13.27,4/13/2020,Food and Beverage
691036,LEE,HLAD,ORGANOGENESIS INC.,17.35,6/30/2020,Food and Beverage
316409,LEE,HOFSOMMER,ORGANOGENESIS INC.,56,2/14/2020,Food and Beverage
42051,LEE,NICHOLS,ORGANOGENESIS INC.,25.06,9/15/2020,Food and Beverage
42051,LEE,NICHOLS,ORGANOGENESIS INC.,21.25,4/28/2020,Food and Beverage
134997,LEE,POSTON,ORGANOGENESIS INC.,18.69,9/9/2020,Food and Beverage
152431,LEE,RUOTSI,ORGANOGENESIS INC.,22.49,1/9/2020,Food and Beverage
284763,LELAND,JAFFE,ORGANOGENESIS INC.,29.98,5/13/2020,Food and Beverage
1169743,LENA,LEVINE,ORGANOGENESIS INC.,46.22,3/5/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,23.5,9/9/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,8.18,6/8/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,11.22,9/2/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,12.5,5/4/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,12.49,10/21/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,16.6,2/24/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,2.99,8/6/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,7.37,4/22/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,2.5,5/20/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,12,9/25/2020,Food and Beverage
159703,LENA,PATEL,ORGANOGENESIS INC.,17.85,1/13/2020,Food and Beverage
702658,LENKA,ZACHAR,ORGANOGENESIS INC.,19.79,8/17/2020,Food and Beverage
702658,LENKA,ZACHAR,ORGANOGENESIS INC.,36.98,6/2/2020,Food and Beverage
1371816,LEOBARDO,CARRANZA,ORGANOGENESIS INC.,17.29,8/27/2020,Food and Beverage
994542,LEON,HUDDLESTON,ORGANOGENESIS INC.,23.66,4/27/2020,Food and Beverage
994542,LEON,HUDDLESTON,ORGANOGENESIS INC.,20.8,3/13/2020,Food and Beverage
266979,LEON,ROBINSON,ORGANOGENESIS INC.,13.02,3/5/2020,Food and Beverage
266979,LEON,ROBINSON,ORGANOGENESIS INC.,20.35,1/23/2020,Food and Beverage
266979,LEON,ROBINSON,ORGANOGENESIS INC.,15.49,9/3/2020,Food and Beverage
206382,LEON,WATKINS,ORGANOGENESIS INC.,18.3,8/8/2020,Food and Beverage
50847,LEONARD,GREENWALD,ORGANOGENESIS INC.,14,1/20/2020,Food and Beverage
443893,LEONARD,TALARICO,ORGANOGENESIS INC.,31.38,10/14/2020,Food and Beverage
113247,LEONARD,TREANOR,ORGANOGENESIS INC.,16.35,4/22/2020,Food and Beverage
180736,LEONARDO,PALAU,ORGANOGENESIS INC.,18,5/1/2020,Food and Beverage
180736,LEONARDO,PALAU,ORGANOGENESIS INC.,20,4/1/2020,Food and Beverage
180736,LEONARDO,PALAU,ORGANOGENESIS INC.,16.89,2/24/2020,Food and Beverage
1012663,LEONARDO,PROFENNA,ORGANOGENESIS INC.,15.06,3/10/2020,Food and Beverage
1012663,LEONARDO,PROFENNA,ORGANOGENESIS INC.,13.59,2/14/2020,Food and Beverage
871060,LEROY,SOUTHMAYD,ORGANOGENESIS INC.,17.75,4/24/2020,Food and Beverage
871060,LEROY,SOUTHMAYD,ORGANOGENESIS INC.,12.66,8/20/2020,Food and Beverage
871060,LEROY,SOUTHMAYD,ORGANOGENESIS INC.,14.75,6/11/2020,Food and Beverage
246967,LESLEIGH,MCGEE,ORGANOGENESIS INC.,80.31,8/14/2020,Food and Beverage
394639,LESLEY,WOLFF,ORGANOGENESIS INC.,28.91,10/13/2020,Food and Beverage
394639,LESLEY,WOLFF,ORGANOGENESIS INC.,14.79,10/22/2020,Food and Beverage
4198086,LESLIE,BRANCH,ORGANOGENESIS INC.,37.09,10/26/2020,Food and Beverage
4198086,LESLIE,BRANCH,ORGANOGENESIS INC.,26.04,1/7/2020,Food and Beverage
350919,LESLIE,ROUSSEAU,ORGANOGENESIS INC.,50.6,8/22/2020,Food and Beverage
350919,LESLIE,ROUSSEAU,ORGANOGENESIS INC.,11.64,4/13/2020,Food and Beverage
350919,LESLIE,ROUSSEAU,ORGANOGENESIS INC.,18.77,3/16/2020,Food and Beverage
183024,LESLIE,STOREY,ORGANOGENESIS INC.,14.27,2/4/2020,Food and Beverage
183024,LESLIE,STOREY,ORGANOGENESIS INC.,14.63,5/27/2020,Food and Beverage
183024,LESLIE,STOREY,ORGANOGENESIS INC.,16.7,1/7/2020,Food and Beverage
7465124,LETICIA,JUAREZ,ORGANOGENESIS INC.,125,2/20/2020,Food and Beverage
525471,LILIA,SANCHEZ-PEREZ,ORGANOGENESIS INC.,17.84,2/19/2020,Food and Beverage
174627,LILIANA,HEATH,ORGANOGENESIS INC.,23.23,9/23/2020,Food and Beverage
629503,LIMING,YU,ORGANOGENESIS INC.,15.87,6/24/2020,Food and Beverage
5545783,LINCE,VARUGHESE,ORGANOGENESIS INC.,13.1,1/10/2020,Food and Beverage
5545783,LINCE,VARUGHESE,ORGANOGENESIS INC.,19.43,2/7/2020,Food and Beverage
5545783,LINCE,VARUGHESE,ORGANOGENESIS INC.,23.64,2/14/2020,Food and Beverage
909266,LINDA,JAGER,ORGANOGENESIS INC.,26.95,9/14/2020,Food and Beverage
909266,LINDA,JAGER,ORGANOGENESIS INC.,13.62,8/12/2020,Food and Beverage
909266,LINDA,JAGER,ORGANOGENESIS INC.,22.98,9/23/2020,Food and Beverage
909266,LINDA,JAGER,ORGANOGENESIS INC.,19.95,8/19/2020,Food and Beverage
130478,LINDA,PHAM,ORGANOGENESIS INC.,98.48,1/18/2020,Food and Beverage
214756,LINDA,STEWART,ORGANOGENESIS INC.,49.2,2/5/2020,Food and Beverage
214756,LINDA,STEWART,ORGANOGENESIS INC.,17.29,4/30/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,15.87,5/4/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,4.84,7/15/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,12.15,2/12/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,18.26,5/18/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,17.63,4/9/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,4.68,8/14/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,12.36,1/8/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,21.2,5/14/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,7.49,10/22/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,16.57,8/3/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,12.31,5/29/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,19.61,2/17/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,16,10/8/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,15.58,1/15/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,9.56,8/12/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,35.56,7/31/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,12.45,5/27/2020,Food and Beverage
336872,LINDSAY,BARTH,ORGANOGENESIS INC.,18.36,6/29/2020,Food and Beverage
3365546,LINDSAY,HUMMEL,ORGANOGENESIS INC.,9,10/19/2020,Food and Beverage
3365546,LINDSAY,HUMMEL,ORGANOGENESIS INC.,39.23,9/25/2020,Food and Beverage
3365546,LINDSAY,HUMMEL,ORGANOGENESIS INC.,39.75,10/13/2020,Food and Beverage
3365546,LINDSAY,HUMMEL,ORGANOGENESIS INC.,102.38,9/10/2020,Food and Beverage
3365546,LINDSAY,HUMMEL,ORGANOGENESIS INC.,13.08,10/6/2020,Food and Beverage
3365546,LINDSAY,HUMMEL,ORGANOGENESIS INC.,4.72,10/30/2020,Food and Beverage
4221544,LINDSEY,GODDARD,ORGANOGENESIS INC.,28.09,9/22/2020,Food and Beverage
182609,LIONEL,HANDLER,ORGANOGENESIS INC.,31.79,10/27/2020,Food and Beverage
287335,LISA,DADSON,ORGANOGENESIS INC.,24.35,5/21/2020,Food and Beverage
3477917,LISA,DAUM,ORGANOGENESIS INC.,172,1/15/2020,Food and Beverage
3158256,LISA,DEMIDOWICH,ORGANOGENESIS INC.,13.17,2/5/2020,Food and Beverage
761879,LISA,FARRAR,ORGANOGENESIS INC.,12.36,7/22/2020,Food and Beverage
192022,LISA,LEARN,ORGANOGENESIS INC.,16.88,7/23/2020,Food and Beverage
132,LISA,MADSEN,ORGANOGENESIS INC.,19.84,6/25/2020,Food and Beverage
